question_id	attempts	success_rate	avg_time	median_time	time_std	log_attempts	time_skew	relative_time_variance	success_z	time_z	difficulty	difficulty_class
q1	20	0.9	20.65	19	8.493186123	3.044522438	1.65	0.411292306	1.061436786	-0.422196275	-1.483633061	Easy
q10	89	0.359550562	23.21348315	23	5.142231365	4.49980967	0.213483146	0.221519163	-2.213027642	-0.166966874	2.046060768	Hard
q100	24	1	18.75	19	3.010849945	3.218875825	-0.25	0.160578664	1.667314819	-0.611366959	-2.278681778	Easy
q1000	81	0.679012346	16.69135802	16	4.00200567	4.406719247	0.691358025	0.239765133	-0.277478868	-0.816332596	-0.538853728	Medium
q10000	22	0.545454545	33.77272727	27	19.30687471	3.135494216	6.772727273	0.571670584	-1.086676242	0.884348619	1.97102486	Hard
q10001	12	0.75	24.91666667	23.5	13.79366346	2.564949357	1.416666667	0.553591844	0.152619736	0.002608069	-0.150011667	Medium
q10002	16	0.625	31.9375	27	19.46439056	2.833213344	4.9375	0.609452542	-0.604727806	0.701626935	1.306354741	Hard
q10003	19	0.736842105	31.31578947	24	17.30142137	2.995732274	7.315789474	0.552482363	0.072898942	0.639727248	0.566828306	Hard
q10004	13	1	19.61538462	17	9.224410203	2.63905733	2.615384615	0.47026405	1.667314819	-0.525206222	-2.192521041	Easy
q10005	13	0.615384615	32.46153846	23	22.40392594	2.63905733	9.461538462	0.690168335	-0.662985309	0.753802048	1.416787357	Hard
q10008	13	0.846153846	11.23076923	8	8.467131019	2.63905733	3.230769231	0.753922625	0.735194768	-1.360008027	-2.095202795	Easy
q10009	20	0.5	29.55	26.5	17.08022864	3.044522438	3.05	0.578011122	-1.362075348	0.463919036	1.825994383	Hard
q1001	26	0.692307692	16.80769231	17	2.742542335	3.295836866	-0.192307692	0.163171855	-0.196925283	-0.804749946	-0.607824662	Medium
q10010	12	0.666666667	25.75	21.5	13.21242528	2.564949357	4.25	0.513103894	-0.352278625	0.085577667	0.437856293	Medium
q10011	11	0.818181818	22.27272727	22	8.695871539	2.48490665	0.272727273	0.390426885	0.565718395	-0.260631839	-0.826350234	Medium
q10018	16	0.8125	23.8125	24	7.016349953	2.833213344	-0.1875	0.294649867	0.531293507	-0.107326649	-0.638620156	Medium
q1002	26	0.692307692	20.38461538	19	6.782783636	3.295836866	1.384615385	0.332740329	-0.196925283	-0.448618901	-0.251693617	Medium
q10020	47	0.446808511	23.74468085	21	14.97311806	3.871201011	2.744680851	0.630588306	-1.684350897	-0.114078962	1.570271935	Hard
q10024	11	0.636363636	28.81818182	25	21.58619087	2.48490665	3.818181818	0.749047633	-0.535878029	0.391056643	0.926934672	Hard
