question_id,attempts,success_rate,avg_time,median_time,time_std,success_z,time_z,difficulty
q1,20,0.9,20.65,19.0,8.493186123376539,0.8260704293194598,-0.45203562392343766,-1.2781060532428974
q10,89,0.3595505617977528,23.213483146067414,23.0,5.142231365044219,-2.1918774473971396,-0.23761010926244533,1.9542673381346942
q100,24,1.0,18.75,19.0,3.010849944999642,1.3844849013106808,-0.610963322933623,-1.9954482242443037
q1000,81,0.6790123456790124,16.691358024691358,16.0,4.002005670000487,-0.4079566137228682,-0.7831608135765628,-0.3752041998536946
q10000,22,0.5454545454545454,33.77272727272727,27.0,19.306874714862875,-1.1537626986494152,0.6456300867043265,1.7993927853537417
q10001,12,0.75,24.916666666666668,23.5,13.793663455193892,-0.011551278667371843,-0.09514535246196841,-0.08359407379459657
q10002,16,0.625,31.9375,27.0,19.464390563282482,-0.7095693686563982,0.4921203774331246,1.2016897460895228
q10003,19,0.7368421052631579,31.31578947368421,24.0,17.301421366077115,-0.08502686708726957,0.44011668090797723,0.5251435479952468
q10004,13,1.0,19.615384615384617,17.0,9.224410202812079,1.3844849013106808,-0.5385772252063117,-1.9230621265169925
q10005,13,0.6153846153846154,32.46153846153846,23.0,22.403925938011344,-0.763263067886323,0.5359541810568851,1.2992172489432081
q10006,6,1.0,22.5,19.0,10.597169433391164,1.3844849013106808,-0.2972902327819412,-1.681775134092622
q10007,8,1.0,17.25,18.0,7.245688373094719,1.3844849013106808,-0.7364325589942957,-2.1209174603049767
q10008,13,0.8461538461538461,11.23076923076923,8.0,8.467131018964317,0.5253857136318791,-1.2399180831864824,-1.7653037968183616
q10009,20,0.5,29.55,26.5,17.080228643853566,-1.4075874586454244,0.2924151767032206,1.700002635348645
q1001,26,0.6923076923076923,16.807692307692307,17.0,2.74254233541407,-0.33371347404692253,-0.7734298978326993,-0.4397164237857768
q10010,11,0.7272727272727273,26.90909090909091,24.0,13.20192823381907,-0.13846365866537652,0.07151327927518775,0.20997693794056427
q10011,11,0.8181818181818182,22.272727272727273,22.0,8.695871538735023,0.3691858613266428,-0.3163007230941643,-0.6854865844208071
q10012,7,0.5714285714285714,28.714285714285715,22.0,12.645345464033866,-1.0087199786516954,0.22251088804084582,1.2312308666925411
q10013,6,0.6666666666666666,42.5,40.0,24.394671549336344,-0.4768966719933896,1.375632914693695,1.8525295866870846
q10014,4,0.5,17.0,18.0,7.788880963698615,-1.4075874586454244,-0.7573440983377412,0.6502433603076833
q10016,9,0.7777777777777778,25.88888888888889,24.0,11.016401913107162,0.14356385244130074,-0.013822699459680607,-0.15738655190098133
q10017,6,0.6666666666666666,20.166666666666668,17.0,11.214573851318056,-0.4768966719933896,-0.49246459998743203,-0.015567927994042441
q10018,16,0.8125,23.8125,24.0,7.016349953263925,0.3374577663271413,-0.1875046512288526,-0.5249624175559939
q1002,26,0.6923076923076923,20.384615384615383,19.0,6.782783635510856,-0.33371347404692253,-0.4742340272264798,-0.14052055317955725
q10020,47,0.44680851063829785,23.74468085106383,21.0,14.973118064379337,-1.70461643310884,-0.1931774624337234,1.5114389706751166
q10022,8,0.375,28.75,29.5,11.78073487884836,-2.105605548634451,0.22549825080419508,2.331103799438646
q10024,11,0.6363636363636364,28.818181818181817,25.0,21.58619087202826,-0.6461131786573958,0.2312013978978619,0.8773145765552577
q10025,8,0.75,33.0,28.5,21.044171232366047,-0.011551278667371843,0.5809944196427678,0.5925456983101396
q10026,22,0.7272727272727273,30.90909090909091,31.5,13.437364717933743,-0.13846365866537652,0.406097908770315,0.5445615674356915
q10027,11,0.6363636363636364,32.54545454545455,31.0,12.824692092706448,-0.6461131786573958,0.5429734390183216,1.1890866176757173
q10028,7,0.7142857142857143,22.285714285714285,18.0,11.982129550769704,-0.2109850186642364,-0.31521440936203743,-0.10422939069780102
q10029,11,0.6363636363636364,19.727272727272727,16.0,10.659182980800255,-0.6461131786573958,-0.5292182145910636,0.11689496406633226
q1003,77,0.6753246753246753,19.636363636363637,19.0,5.503369998438493,-0.4285490986608161,-0.5368224107159527,-0.10827331205513663
q10030,4,0.5,27.5,23.5,15.84297951775486,-1.4075874586454244,0.12094055408696783,1.5285280127323924
q10031,6,1.0,19.0,19.0,4.335896677735759,1.3844849013106808,-0.5900517835901775,-1.9745366849008583
q10032,21,0.5238095238095238,28.333333333333332,24.0,15.818765227834103,-1.274631631980848,0.1906456852317859,1.4652773172126339
q10033,9,0.7777777777777778,30.666666666666668,32.0,13.416407864998739,0.14356385244130074,0.385820052437277,0.24225619999597628
q10034,9,0.5555555555555556,22.444444444444443,23.0,13.286375644914521,-1.0973571964280793,-0.30193724152492923,0.79541995490315
q10036,5,1.0,25.2,19.0,10.66302021005306,1.3844849013106808,-0.0714456078727304,-1.4559305091834112
q10038,10,0.7,23.8,20.5,11.50651989091402,-0.29075851466298264,-0.1885502281960248,0.10220828646695784
q10039,13,0.6923076923076923,33.46153846153846,21.0,25.181393212103337,-0.33371347404692253,0.619600338430667,0.9533138124775895
q1004,27,0.7407407407407407,18.11111111111111,18.0,1.3397282541141668,-0.06325632237026291,-0.6644039234779836,-0.6011476011077207
q10042,15,0.3333333333333333,26.866666666666667,23.0,16.96158123805791,-2.3382782452974595,0.06796465441690605,2.4062428997143654
q10043,8,0.625,33.375,23.0,19.747965537167186,-0.7095693686563982,0.6123617286579359,1.3219310973143341
q10044,10,0.9,28.0,26.0,19.327585352432298,0.8260704293194598,0.16276363277385875,-0.6633067965456011
q10045,14,0.7857142857142857,36.642857142857146,33.5,21.74186724292077,0.18788246132949274,0.8857054215044018,0.6978229601749091
q10046,6,1.0,20.666666666666668,19.5,5.046450898073483,1.3844849013106808,-0.4506415213005411,-1.8351264226112218
q10047,5,0.6,24.0,22.0,13.509256086106296,-0.8491729866542035,-0.1718209967212685,0.677351989932935
q10048,10,1.0,19.7,19.0,8.179242018671413,1.3844849013106808,-0.5314994734285303,-1.9159843747392111
q10049,8,0.875,35.375,31.0,23.706162550213456,0.6864668113216544,0.7796540434054996,0.09318723208384516
q1005,43,0.9767441860465116,16.953488372093023,16.0,2.9757231083752917,1.2546210706150478,-0.7612346172853589,-2.0158556879004066
q10050,7,0.8571428571428571,20.714285714285715,17.0,14.465064646868855,0.5867499413232219,-0.44665837094940863,-1.0334083122726305
q10051,10,0.8,39.9,36.0,22.367883722476346,0.26765595732823894,1.1581529055218622,0.8904969481936233
q10052,9,0.4444444444444444,21.333333333333332,18.0,10.712142642814275,-1.7178177208627696,-0.39487741638468676,1.3229403044780828
q10054,7,0.7142857142857143,36.714285714285715,35.0,12.446074156325839,-0.2109850186642364,0.8916801470311003,1.1026651656953368
q10055,5,0.8,40.0,50.0,17.435595774162696,0.26765595732823894,1.1665175212592405,0.8988615639310016
q10056,17,0.9411764705882353,21.470588235294116,19.0,7.366458164026518,1.0560058001393742,-0.383396571254952,-1.4394023713943263
q10057,14,0.7142857142857143,30.071428571428573,26.0,13.86453297898183,-0.2109850186642364,0.3360306730481212,0.5470156917123576
q10058,6,0.8333333333333334,27.666666666666668,16.0,30.715902504511675,0.4537941146586459,0.13488158031593156,-0.3189125343427143
q10059,11,0.8181818181818182,13.0,12.0,5.60357029044876,0.3691858613266428,-1.0919287278328684,-1.4611145891595112
q1006,34,0.9411764705882353,18.11764705882353,17.0,2.671564130235466,1.0560058001393742,-0.6638572165670439,-1.7198630167064182
q10060,14,0.5,22.571428571428573,19.5,8.976158898517147,-1.4075874586454244,-0.2913155072552424,1.116271951390182
q10061,14,0.42857142857142855,26.0,19.5,19.31918138096874,-1.806454938639154,-0.004528681973704884,1.801926256665449
q10062,15,0.7333333333333333,28.8,24.0,20.970046665252255,-0.10462035733257564,0.22968055867288423,0.33430091600545986
q10063,11,0.5454545454545454,30.181818181818183,21.0,26.03773485469956,-1.1537626986494152,0.345264339771201,1.4990270384206161
q10064,9,0.7777777777777778,29.555555555555557,21.0,16.455326729596642,0.14356385244130074,0.29287987757751943,0.1493160251362187
q10065,11,0.8181818181818182,21.545454545454547,15.0,17.80091928167552,0.3691858613266428,-0.3771342920932783,-0.7463201534199211
q10066,14,0.5714285714285714,19.571428571428573,17.0,7.9296356082181285,-1.0087199786516954,-0.5422539793765878,0.46646599927510757
q10067,18,0.7777777777777778,24.61111111111111,21.5,10.10613610278946,0.14356385244130074,-0.12070390054840187,-0.2642677529897026
q10069,17,0.4117647058823529,35.8235294117647,33.0,17.745546251516345,-1.9003061104023844,0.8171718051687397,2.717477915571124
q1007,44,0.6590909090909091,17.795454545454547,17.5,2.6288165650667903,-0.5192007986593912,-0.6908073822449601,-0.1716065835855689
q10070,17,0.35294117647058826,30.058823529411764,27.0,17.707592256696326,-2.2287852115736904,0.33497630971988007,2.5637615212935705
q10071,11,0.9090909090909091,23.272727272727273,23.0,9.696297325174276,0.8768353813186615,-0.23265456572038248,-1.109489947039044
q10072,15,0.8,26.333333333333332,15.0,25.505368249131582,0.26765595732823894,0.023353370484222286,-0.24430258684401665
q10073,16,0.5,34.125,25.5,18.66860109024419,-1.4075874586454244,0.6750963466882723,2.082683805333697
q10074,18,0.6111111111111112,19.72222222222222,19.0,10.54851846611956,-0.7871269342107341,-0.5296406699313352,0.2574862642793989
q10075,13,0.7692307692307693,21.923076923076923,20.0,11.206110970221696,0.0958361197924786,-0.3455476312668153,-0.4413837510592939
q10076,14,0.9285714285714286,30.928571428571427,25.5,23.847155243064385,0.9856174213169516,0.40772737936850534,-0.5778900419484463
q10077,16,0.625,21.25,17.5,12.651745597610894,-0.7095693686563982,-0.4018479294991685,0.3077214391572297
q10078,13,0.8461538461538461,19.384615384615383,17.0,15.76144272974644,0.5253857136318791,-0.5578801846002616,-1.0832658982321406
q10079,17,0.4117647058823529,32.470588235294116,22.0,33.030511741151585,-1.9003061104023844,0.5367111598566479,2.437017270259032
q1008,33,0.8181818181818182,17.242424242424242,15.0,8.257686960607913,0.3691858613266428,-0.7370662420047032,-1.106252103331346
q10080,21,0.7142857142857143,26.047619047619047,29.0,13.36591257818257,-0.2109850186642364,-0.0005455316225724307,0.210439487041664
q10081,15,0.4666666666666667,26.733333333333334,22.0,20.101409569148792,-1.5937256159758315,0.056811833433735186,1.6505374494095666
q10082,14,0.42857142857142855,37.0,36.5,20.331862073716106,-1.806454938639154,0.915579049137895,2.722033987777049
q10083,18,0.5,26.27777777777778,22.0,14.486527434971537,-1.4075874586454244,0.018706361741234575,1.426293820386659
q10084,12,1.0,30.833333333333332,25.0,21.986910706696435,1.3844849013106808,0.39976107866624044,-0.9847238226444404
q10085,14,0.5714285714285714,35.57142857142857,33.0,17.874409234839217,-1.0087199786516954,0.7960845386039208,1.8048045172556162
q10086,11,0.5454545454545454,24.363636363636363,28.0,10.892866723436281,-1.1537626986494152,-0.1414042122217115,1.0123584864277038
q10087,10,0.8,19.8,18.0,11.621818561080133,0.26765595732823894,-0.5231348576911521,-0.790790815019391
q10088,6,0.8333333333333334,15.5,12.5,10.329569206893384,0.4537941146586459,-0.8828133343984139,-1.3366074490570599
q10089,9,0.5555555555555556,23.666666666666668,23.0,6.0,-1.0973571964280793,-0.19970304917919568,0.8976541472488836
q1009,30,0.8,17.0,16.5,2.319334030455204,0.26765595732823894,-0.7573440983377412,-1.0250000556659802
q10090,10,0.6,20.5,14.5,17.244967059663782,-0.8491729866542035,-0.46458254752950484,0.38459043912469865
q10091,12,0.5833333333333334,28.833333333333332,29.5,6.132378054724007,-0.9422420653194067,0.2324687639186768,1.1747108292380835
q10092,11,0.7272727272727273,34.90909090909091,27.0,20.830048225842134,-0.13846365866537652,0.740682538265442,0.8791461969308185
q10093,10,0.8,21.6,15.5,11.345091939297411,0.26765595732823894,-0.3725717744183447,-0.6402277317465837
q10094,12,0.8333333333333334,30.75,28.0,14.302733368771921,0.4537941146586459,0.39279056555175873,-0.061003549106887156
q10095,7,1.0,14.857142857142858,13.0,5.785861256216785,1.3844849013106808,-0.9365858641387022,-2.3210707654493827
q10096,10,0.8,22.7,22.0,10.252912865240893,0.26765595732823894,-0.2805610013071849,-0.5482169586354239
q10097,16,1.0,20.6875,12.0,21.37512183201147,1.3844849013106808,-0.44889889302192076,-1.8333837943326015
q10098,15,0.8666666666666667,33.2,29.0,21.153182806782123,0.6399322719890529,0.5977236511175243,-0.042208620871528546
q10099,16,0.4375,19.25,18.0,7.987490219086343,-1.7565965036399376,-0.569140244246732,1.1874562593932056
q101,14,0.9285714285714286,16.928571428571427,17.5,2.164904890939366,0.9856174213169516,-0.7633188238644399,-1.7489362451813917
q1010,43,0.9069767441860465,13.534883720930232,14.0,2.46256580486697,0.8650295785281492,-1.0471877599352641,-1.9122173384634134
q10100,14,0.5714285714285714,30.714285714285715,23.5,20.800993213818387,-1.0087199786516954,0.38980320278840946,1.398523181440105
q10101,13,1.0,17.53846153846154,16.0,11.457278506226109,1.3844849013106808,-0.7123038597518585,-2.0967887610625393
q10102,22,0.45454545454545453,28.818181818181817,22.0,17.890237730690057,-1.6614122186414342,0.2312013978978619,1.8926136165392962
q10103,15,0.7333333333333333,26.933333333333334,29.0,9.88842517193473,-0.10462035733257564,0.0735410649084915,0.17816142224106712
q10104,30,0.6,22.466666666666665,20.5,14.09263278633821,-0.8491729866542035,-0.3000784380277341,0.5490945486264693
q10105,14,0.7142857142857143,34.92857142857143,25.0,22.502869169932996,-0.2109850186642364,0.7423120088636329,0.9532970275278694
q10106,15,0.9333333333333333,17.533333333333335,15.0,8.6591542532139,1.012208586649867,-0.7127328144050574,-1.7249414010549242
q10107,23,0.6956521739130435,32.391304347826086,24.0,22.767079763303343,-0.3150374047495573,0.5300793673282919,0.8451167720778492
q10108,23,0.43478260869565216,26.347826086956523,27.0,16.55736226152247,-1.771770809944047,0.02456563363456718,1.7963364435786142
q10109,13,0.6153846153846154,24.53846153846154,22.0,8.790291847784735,-0.763263067886323,-0.12678075813538586,0.6364823097509371
q1011,66,0.803030303030303,16.666666666666668,17.0,3.659900517073079,0.28457760799463905,-0.7852261507956684,-1.0698037587903073
q10110,20,0.8,28.4,21.5,22.57478798641482,0.26765595732823894,0.19622209572337135,-0.07143386160486759
q10111,13,0.38461538461538464,27.692307692307693,23.0,13.960567176781748,-2.0519118494045254,0.13702635358192597,2.1889382029864515
q10112,15,0.6,23.866666666666667,20.0,15.305772331596556,-0.8491729866542035,-0.18297381770443938,0.6661991689497642
q10113,12,0.8333333333333334,23.5,18.5,17.048060406872203,0.4537941146586459,-0.2136440754081594,-0.6674381900668053
q10114,11,0.36363636363636365,36.27272727272727,26.0,24.531982835029496,-2.169061738633453,0.854745480138781,3.0238072187722342
q10115,16,0.5,41.1875,32.0,24.07548891853843,-1.4075874586454244,1.2658473331406064,2.673434791786031
q10116,11,1.0,16.545454545454547,16.0,8.165336935652274,1.3844849013106808,-0.7953650789621873,-2.179849980272868
q10117,12,0.4166666666666667,27.833333333333332,26.0,16.49701534070679,-1.8729328519714419,0.148822606544895,2.0217554585163366
q10118,13,0.5384615384615384,26.076923076923077,25.0,8.635793135371127,-1.1928126617257242,0.0019056378242783096,1.1947182995500025
q10119,18,0.8333333333333334,20.944444444444443,17.0,15.206315337509967,0.4537941146586459,-0.42740647758560196,-0.8812005922442478
q1012,49,0.7755102040816326,14.918367346938776,14.0,3.141368695156868,0.1309013927589599,-0.9314646708301032,-1.062366063589063
q10120,14,0.8571428571428571,21.142857142857142,17.0,14.971034304010798,0.5867499413232219,-0.41081001778921655,-0.9975599591124384
q10121,13,0.8461538461538461,25.923076923076923,19.0,21.538576007021828,0.5253857136318791,-0.010963001771688076,-0.5363487154035672
q10122,10,0.7,25.6,25.5,8.275801404630785,-0.29075851466298264,-0.03798714492321749,0.25277136973976516
q10123,18,0.5,19.0,16.0,9.336834077364514,-1.4075874586454244,-0.5900517835901775,0.8175356750552469
q10124,11,0.5454545454545454,34.72727272727273,34.0,14.677131253013368,-1.1537626986494152,0.7254741460156636,1.879236844665079
